135, 150.00000000002183
136, 160.0000000000291
137, 175.60439560443774
138, 196.81318681324046
139, 223.62637362643
140, 256.0439560440136
141, 294.0659340659986
142, 337.6923076923704
143, 386.92307692313625
144, 441.7582417582962
145, 502.1978021978575
146, 568.2417582418057
147, 639.8901098901479
148, 717.1428571428842
149, 800.0000000000218
150, 0
151, 800.0000000000218
152, 717.1428571428842
153, 639.8901098901479
154, 568.2417582418057
155, 502.1978021978575
156, 441.7582417582962
157, 386.92307692313625
158, 337.6923076923704
159, 294.0659340659986
160, 256.0439560440136
161, 223.62637362643
162, 196.81318681324046
163, 175.60439560443774
164, 160.0000000000291
165, 150.00000000002183
