Time,Distance_L,Distance_R
0.00014781951904296875,420.0,420.0
0.10523390769958496,419.92875339798644,419.92875339798644
0.21032285690307617,418.8763678123546,418.8763678123546
0.3120241165161133,416.6029943207016,416.6029943207016
0.41707897186279297,413.41162859207714,413.41162859207714
0.5222330093383789,410.6410407671364,410.6410407671364
0.6273458003997803,405.91413077230084,405.91413077230084
0.7324538230895996,400.3567139826289,400.3567139826289
0.8375668525695801,393.8104853812865,393.8104853812865
0.9429659843444824,389.08671408849426,389.08671408849426
1.0466899871826172,381.670238973117,381.670238973117
1.151911973953247,373.9391005767493,373.9391005767493
1.2570679187774658,365.87185748560125,365.87185748560125
1.362224817276001,356.96824485356603,356.96824485356603
1.46732497215271,347.8814285547879,347.8814285547879
1.5724279880523682,338.5148593207105,338.5148593207105
1.674088954925537,331.74303635336037,331.74303635336037
1.7770228385925293,321.2831049408371,321.2831049408371
1.8840079307556152,313.7790282180448,313.7790282180448
1.9891319274902344,302.74082114112196,302.74082114112196
2.0921967029571533,291.9728261879547,291.9728261879547
2.1972708702087402,280.5877469344997,280.5877469344997
2.2999229431152344,269.0004665701746,269.0004665701746
2.405012845993042,261.17125940211974,261.17125940211974
2.5101399421691895,249.28571066984557,249.28571066984557
2.6152498722076416,237.45218638492574,237.45218638492574
2.7207298278808594,225.27239821915197,225.27239821915197
2.82100772857666,217.2683091414625,217.2683091414625
2.925651788711548,204.87678701906532,204.87678701906532
3.0302939414978027,192.35820835101305,192.35820835101305
3.135406017303467,184.43506962323613,184.43506962323613
3.2405707836151123,171.81324398183278,171.81324398183278
3.3456478118896484,159.51235328521915,159.51235328521915
3.4492368698120117,146.85209654339172,146.85209654339172
3.5503249168395996,134.47063472519363,134.47063472519363
3.6553966999053955,125.86861452132166,125.86861452132166
3.760427951812744,113.51216337612277,113.51216337612277
3.864971876144409,100.53215891066105,100.53215891066105
3.968212842941284,87.84814426767826,87.84814426767826
4.070404767990112,79.66297497596031,79.66297497596031
4.175581932067871,66.54718459800569,66.54718459800569
4.27859091758728,54.38140064106523,54.38140064106523
4.383145809173584,41.40910520779073,41.40910520779073
4.488274812698364,28.685711671343427,28.685711671343427
4.5904459953308105,20.350169593424027,20.350169593424027
4.695658922195435,8.20260948249853,8.20260948249853
4.796066999435425,inf,inf
4.901122093200684,inf,inf
5.003634929656982,inf,inf
5.108709812164307,inf,inf
5.2137720584869385,inf,inf
5.318827867507935,inf,inf
5.424340009689331,inf,inf
5.529268980026245,inf,inf
5.634404897689819,inf,inf
5.738892078399658,inf,inf
5.845536947250366,inf,inf
5.952507734298706,inf,inf
6.056428909301758,inf,inf
6.161741018295288,inf,inf
6.263138055801392,inf,inf
6.363654851913452,inf,inf
6.468729734420776,inf,inf
6.571115970611572,inf,inf
6.675710916519165,inf,inf
6.780772686004639,inf,inf
6.885910987854004,inf,inf
6.9937169551849365,inf,inf
7.094638109207153,inf,inf
7.1997129917144775,inf,inf
7.304795742034912,inf,inf
7.405186891555786,inf,inf
7.5103819370269775,inf,inf
7.615921974182129,inf,inf
7.7165138721466064,inf,inf
7.8185319900512695,inf,inf
7.91951584815979,inf,inf
8.03174090385437,inf,inf
8.135560989379883,inf,inf
8.240754842758179,inf,inf
8.345903873443604,inf,inf
8.451093912124634,inf,inf
8.551625967025757,inf,inf
8.66036081314087,inf,inf
8.763468980789185,inf,inf
8.868667840957642,inf,inf
8.973758935928345,inf,inf
9.077350854873657,inf,inf
9.182516813278198,inf,inf
9.284600973129272,inf,inf
9.389753818511963,inf,inf
9.49074411392212,inf,inf
9.592864990234375,inf,inf
9.699233055114746,inf,inf
9.801471948623657,inf,inf
9.906625986099243,inf,inf
